SITE ID,SITE,Longitude,Latitude
岭下朱,浙江省金华市金东区岭下朱互通,119.768567,29.061329
鞋塘,浙江省金华市金东区鞋塘互通,119.854787,29.229185
游埠,浙江省金华市兰溪市,119.326404,29.110246
兰溪,浙江省金华市兰溪市,119.536026,29.140798
双峰,浙江省金华市磐安县,120.460433,28.926675
磐安,浙江省金华市磐安县磐安互通,120.431463,28.979995
浦江,浙江省金华市浦江县,120.031412,29.443837
郑家坞,浙江省金华市浦江县,120.086397,29.507116
武义,浙江省金华市武义县武义互通,119.839273,28.943836
西田畈,浙江省金华市武义县西田畈互通,119.877729,28.929518
金华西,浙江省金华市婺城区,119.38111,29.101066
金华,浙江省金华市婺城区,119.662235,29.145646
望道,浙江省金华市义乌市,119.961006,29.302736
佛堂,浙江省金华市义乌市,120.007707,29.228881
义乌,浙江省金华市义乌市,120.037529,29.380617
湖门,浙江省金华市义乌市,120.057933,29.405394
福田,浙江省金华市义乌市,120.108421,29.389372
苏溪,浙江省金华市义乌市,120.155979,29.391019
廿三里,浙江省金华市义乌市,120.18446,29.33721
上溪,浙江省金华市义乌市上溪互通,119.933406,29.283721
徐村,浙江省金华市义乌市香溪路,120.06499,29.255394
义亭,浙江省金华市义乌市义亭互通,119.968207,29.226777
义乌东,浙江省金华市义乌市义乌东互通,120.152171,29.309119
前仓,浙江省金华市永康市,120.103869,28.814362
永康,浙江省金华市永康市,120.122805,28.890926
西溪,浙江省金华市永康市,120.228832,29.013895
方岩,浙江省金华市永康市方岩互通,120.17302,28.951447
永康东,浙江省金华市永康市五金大道,120.015251,28.861823
缙云,浙江省丽水市缙云县G330(温寿线),120.068188,28.626499
壶镇,浙江省丽水市缙云县壶镇互通,120.267019,28.795538
景宁,浙江省丽水市景宁畲族自治县G4012(溧宁高速),119.641547,27.996196
丽水北,浙江省丽水市莲都区,119.876904,28.483893
丽水,浙江省丽水市莲都区G25(长深高速),119.910904,28.400102
碧湖(南山),浙江省丽水市莲都区S328,119.798984,28.331143
洪渡,浙江省丽水市莲都区丽和线,119.877964,28.614841
丽水(西),浙江省丽水市莲都区丽水西互通,119.879086,28.44809
龙泉南,浙江省丽水市龙泉市,119.090454,28.006687
龙泉,浙江省丽水市龙泉市,119.127303,28.051465
龙泉安仁,浙江省丽水市龙泉市,119.359479,28.071759
龙泉东(塔石),浙江省丽水市龙泉市S328,119.198008,28.049371
上垟,浙江省丽水市龙泉市S36(龙浦高速),118.876452,27.949181
八都,浙江省丽水市龙泉市八都互通,118.968573,27.986389
船寮,浙江省丽水市青田县,120.210785,28.267268
青田,浙江省丽水市青田县G1513(温丽高速),120.278616,28.173656
海口,浙江省丽水市青田县G330(温寿线),120.079677,28.320294
温溪,浙江省丽水市青田县S333,120.366917,28.139115
石帆,浙江省丽水市青田县石帆互通,119.964101,28.372615
庆元,浙江省丽水市庆元县,118.909266,27.672484
黄田,浙江省丽水市庆元县,118.948271,27.77962
G25浙闽主线,浙江省丽水市庆元县G25(长深高速),118.907173,27.671267
古市,浙江省丽水市松阳县,119.401393,28.51241
松阳,浙江省丽水市松阳县,119.474166,28.432989
象溪,浙江省丽水市松阳县S50,119.608346,28.374475
北界,浙江省丽水市遂昌县北界互通,119.239986,28.755021
遂昌,浙江省丽水市遂昌县水阁路,119.282925,28.633107
遂昌东,浙江省丽水市遂昌县遂昌东互通,119.337453,28.607601
新路湾,浙江省丽水市遂昌县新路湾互通,119.279727,28.698358
赤石,浙江省丽水市云和县赤石互通,119.466252,28.128452
云和,浙江省丽水市云和县仙宫大道,119.599318,28.105991
柴桥,浙江省宁波市北仑区,121.934615,29.873309
穿山港区,浙江省宁波市北仑区S20(穿山疏港高速),122.035658,29.872779
丁家山,浙江省宁波市北仑区丁家山互通,121.695109,29.864626
霞浦,浙江省宁波市北仑区浦堤路,121.885146,29.878964
灵峰,浙江省宁波市北仑区田洋王特大桥,121.77672,29.891079
小港,浙江省宁波市北仑区小港互通,121.693124,29.916385
北仑,浙江省宁波市北仑区新华路70号,121.815392,29.896261
观海卫,浙江省宁波市慈溪市,121.447509,30.191998
慈溪,浙江省宁波市慈溪市慈溪互通,121.337844,30.28058
掌起,浙江省宁波市慈溪市掌起互通,121.449378,30.139563
奉化,浙江省宁波市奉化区,121.460256,29.672598
溪口西,浙江省宁波市奉化区溪口西互通,121.240549,29.642583
奉化溪口东,浙江省宁波市奉化区甬金分离立交,121.344474,29.69854
洞桥,浙江省宁波市海曙区,121.402441,29.786755
宁波,浙江省宁波市海曙区,121.501039,29.843489
宁波西,浙江省宁波市海曙区G1512(甬金高速),121.440979,29.816464
大隐付,浙江省宁波市海曙区大隐互通,121.395724,29.944512
大隐,浙江省宁波市海曙区大隐互通,121.39715,29.944249
横街,浙江省宁波市海曙区横街互通,121.423259,29.85614
慈城,浙江省宁波市江北区,121.423048,30.006515
保国寺,浙江省宁波市江北区,121.525365,29.973612
宁波北,浙江省宁波市江北区G15(沈海高速),121.464496,29.94935
宁海南,浙江省宁波市宁海县,121.314668,29.200129
宁海北,浙江省宁波市宁海县,121.43284,29.47186
宁海,浙江省宁波市宁海县,121.465655,29.36362
力洋,浙江省宁波市宁海县,121.628922,29.205057
宁海东长街,浙江省宁波市宁海县,121.681656,29.243883
岳井洋灵南,浙江省宁波市象山县,121.760986,29.288006
象山,浙江省宁波市象山县,121.819956,29.481338
茅洋,浙江省宁波市象山县,121.823845,29.39065
象山北,浙江省宁波市象山县,121.824923,29.578073
新桥(象山),浙江省宁波市象山县S19(沿海高速),121.830704,29.310352
塘溪,浙江省宁波市鄞州区,121.71162,29.686422
咸祥,浙江省宁波市鄞州区,121.787527,29.661926
云龙,浙江省宁波市鄞州区S19(甬台温复线高速),121.594158,29.787752
朝阳,浙江省宁波市鄞州区朝阳互通,121.488795,29.790226
东钱湖,浙江省宁波市鄞州区东钱湖互通,121.647445,29.818489
宁波东,浙江省宁波市鄞州区世纪大道南段1111,121.605404,29.845437
余姚西,浙江省宁波市余姚市,121.07019,30.029406
泗门,浙江省宁波市余姚市,121.07605,30.193493
马渚,浙江省宁波市余姚市龙舌小区东一弄,121.067337,30.081907
阳明,浙江省宁波市余姚市余姚大道辅路,121.087502,30.117561
余姚,浙江省宁波市余姚市余姚互通,121.170741,30.005686
余姚付,浙江省宁波市余姚市余姚互通,121.170811,30.00562
蛟川,浙江省宁波市镇海区G9211(甬舟高速),121.646089,29.967757
九龙湖,浙江省宁波市镇海区九龙湖互通,121.569894,29.997218
临江,浙江省宁波市镇海区临江立交桥,121.662459,29.948979
沙河,浙江省宁波市镇海区沙河互通,121.612887,29.999949
芳村,浙江省衢州市常山县,118.598129,29.041022
常山东,浙江省衢州市常山县,118.621547,28.942947
东案,浙江省衢州市常山县,118.654471,28.983113
窑上,浙江省衢州市常山县G60(杭金衢高速),118.360914,28.82031
常山,浙江省衢州市常山县常山互通,118.51403,28.927839
新桥,浙江省衢州市常山县常新线,118.740875,29.174706
廿八都,浙江省衢州市江山市,118.487781,28.304256
江郎山,浙江省衢州市江山市,118.600995,28.612014
峡口,浙江省衢州市江山市峡三线,118.543844,28.46274
江山,浙江省衢州市江山市迎宾大道,118.681842,28.761898
杨林,浙江省衢州市开化县,118.159255,29.065364
池淮,浙江省衢州市开化县,118.294562,29.100332
马金,浙江省衢州市开化县,118.397735,29.303816
开化南,浙江省衢州市开化县,118.403576,29.089927
钱江源,浙江省衢州市开化县G3(京台高速),118.352811,29.323104
银岭关主线,浙江省衢州市开化县G60N(杭新景高速),118.081712,29.099529
林山,浙江省衢州市开化县林山互通,118.496438,29.128631
开化,浙江省衢州市开化县湘溪路,118.431035,29.153446
衢州南,浙江省衢州市柯城区X323(衢州南连接线),118.733028,28.872847
衢州,浙江省衢州市柯城区锦西大道,118.841911,28.987612
龙游,浙江省衢州市龙游县,119.188208,29.083249
龙游南,浙江省衢州市龙游县S50,119.150318,28.988249
灵溪,浙江省衢州市龙游县龙庙线,119.177663,28.858282
龙游北,浙江省衢州市龙游县龙游北互通,119.156067,29.145676
上方,浙江省衢州市衢江区,118.954999,29.235372
太真,浙江省衢州市衢江区X201(塔太线),118.844215,29.185943
沈家,浙江省衢州市衢江区宾港北路,118.939656,29.005179
兰亭,浙江省绍兴市柯桥区,120.518275,29.918375
柯桥,浙江省绍兴市柯桥区,120.530294,30.153064
平水,浙江省绍兴市柯桥区平水立交桥,120.648152,29.939039
滨海新城南(沥海),浙江省绍兴市上虞区,120.785503,30.118467
上虞道墟,浙江省绍兴市上虞区S24(绍诸高速),120.801807,30.042275
滨海新城北付,浙江省绍兴市上虞区滨海新城北互通,120.78383,30.205146
滨海新城北,浙江省绍兴市上虞区滨海新城北互通,120.78385,30.205139
东关,浙江省绍兴市上虞区东关互通,120.807979,30.012998
东关付,浙江省绍兴市上虞区东关互通,120.813743,30.013978
蒿坝,浙江省绍兴市上虞区蒿坝互通,120.854277,29.981861
牟山,浙江省绍兴市上虞区牟山互通,120.98976,30.066297
牟山付,浙江省绍兴市上虞区牟山互通,120.990862,30.066948
上浦,浙江省绍兴市上虞区上浦互通,120.839922,29.90263
上虞付,浙江省绍兴市上虞区上虞互通,120.907351,30.055117
上虞,浙江省绍兴市上虞区上虞互通,120.912928,30.056517
章镇,浙江省绍兴市上虞区章镇互通,120.853577,29.824659
嵊州南,浙江省绍兴市嵊州市,120.815992,29.55956
黄泽,浙江省绍兴市嵊州市,120.909945,29.584415
甘霖,浙江省绍兴市嵊州市甘霖互通,120.74136,29.527402
三界,浙江省绍兴市嵊州市三界互通,120.849022,29.756495
嵊州,浙江省绍兴市嵊州市嵊州互通,120.837228,29.654297
长乐,浙江省绍兴市嵊州市长乐互通,120.640813,29.455423
新昌,浙江省绍兴市新昌县,120.857619,29.529295
沙溪,浙江省绍兴市新昌县,121.146909,29.54586
双彩,浙江省绍兴市新昌县太下线,120.881586,29.323596
绍兴,浙江省绍兴市越城区,120.619425,30.113763
富盛,浙江省绍兴市越城区,120.71972,29.975137
绍兴高新区,浙江省绍兴市越城区,120.751284,30.008143
绍兴南,浙江省绍兴市越城区绍兴南立交桥,120.576279,29.930933
直埠,浙江省绍兴市诸暨市,120.244642,29.824622
街亭,浙江省绍兴市诸暨市,120.284256,29.630548
诸暨浣东,浙江省绍兴市诸暨市S24(绍诸高速),120.301577,29.748713
安华,浙江省绍兴市诸暨市安华互通,120.143754,29.583415
陈宅,浙江省绍兴市诸暨市陈宅互通,120.349933,29.516286
次坞,浙江省绍兴市诸暨市次坞互通,120.219251,29.900818
枫桥南,浙江省绍兴市诸暨市枫桥南立交桥,120.405326,29.773064
枫桥北,浙江省绍兴市诸暨市复兴路,120.455744,29.817713
璜山,浙江省绍兴市诸暨市璜山互通,120.33158,29.591559
牌头,浙江省绍兴市诸暨市牌头互通,120.144724,29.614924
诸暨,浙江省绍兴市诸暨市越都路,120.19705,29.74338
诸暨北,浙江省绍兴市诸暨市诸暨北互通,120.287608,29.792338
诸暨东,浙江省绍兴市诸暨市诸暨东互通,120.314737,29.723718
诸暨南,浙江省绍兴市诸暨市诸暨南互通,120.219903,29.618596
台州,浙江省台州市黄岩区,121.252182,28.677796
台州南,浙江省台州市黄岩区台州南互通,121.255001,28.557033
头门港南,浙江省台州市椒江区,121.525002,28.716667
章安,浙江省台州市椒江区X104,121.415449,28.745742
台州东(椒江),浙江省台州市椒江区东联线,121.512222,28.626667
临海白水洋,浙江省台州市临海市,120.916907,28.884128
临海城西,浙江省台州市临海市,121.058857,28.879011
临海北,浙江省台州市临海市,121.231072,28.926066
临海南,浙江省台州市临海市,121.248876,28.787962
沿江,浙江省台州市临海市,121.305442,28.74025
桃渚,浙江省台州市临海市,121.580559,28.84
头门港,浙江省台州市临海市G1523(沿海高速),121.555,28.750834
杜桥,浙江省台州市临海市S28(台金高速),121.478142,28.738114
临海城南,浙江省台州市临海市靖江南路,121.151616,28.806683
涌泉,浙江省台州市临海市涌泉互通,121.34009,28.736989
台州(路桥),浙江省台州市路桥区路滨线辅路,121.534447,28.559999
三门,浙江省台州市三门县,121.317686,29.087286
健跳,浙江省台州市三门县,121.576942,29.099167
蛇蟠,浙江省台州市三门县,121.578056,29.151943
浦坝港,浙江省台州市三门县,121.603058,28.960833
白鹤,浙江省台州市天台县,120.941227,29.244679
天台,浙江省台州市天台县,121.011104,29.159531
洋头,浙江省台州市天台县洋头互通,121.172335,29.087398
温岭东,浙江省台州市温岭市,121.520554,28.371668
温岭北,浙江省台州市温岭市,121.542221,28.465834
温岭南,浙江省台州市温岭市X402(吴坑线),121.408333,28.297501
横溪,浙江省台州市仙居县,120.502546,28.740341
埠头,浙江省台州市仙居县,120.540984,28.788631
神仙居,浙江省台州市仙居县,120.62671,28.751555
白塔,浙江省台州市仙居县,120.627177,28.78003
仙居城关,浙江省台州市仙居县,120.714294,28.83785
仙居下各,浙江省台州市仙居县,120.86282,28.874407
公盂岩,浙江省台州市仙居县S26(诸永高速),120.680635,28.677499
芦浦,浙江省台州市玉环市,121.125198,28.114
玉环,浙江省台州市玉环市,121.274551,28.179771
沙门,浙江省台州市玉环市玉兴西路140,121.231796,28.143499
分水关,浙江省温州市苍南县,120.264698,27.437742
苍南,浙江省温州市苍南县,120.440769,27.544947
浙闽主线,浙江省温州市苍南县G15(观美互通),120.357838,27.476792
观美,浙江省温州市苍南县观美互通,120.360901,27.480284
七里港,浙江省温州市乐清市,120.893112,28.012669
乐成,浙江省温州市乐清市,120.975153,28.089941
海山,浙江省温州市乐清市,121.093803,28.134701
南塘,浙江省温州市乐清市,121.125198,28.1436
黄华,浙江省温州市乐清市黄华枢纽,120.960472,28.011099
蒲歧,浙江省温州市乐清市蒲歧互通,121.057492,28.173953
雁荡,浙江省温州市乐清市雁荡山互通,121.151338,28.348261
温州东,浙江省温州市龙湾区温州东枢纽,120.762057,27.974239
温州西,浙江省温州市鹿城区,120.601593,28.024837
七都,浙江省温州市鹿城区,120.783482,28.004227
仰义,浙江省温州市鹿城区S10(温州绕城高速),120.584723,28.08139
三溪,浙江省温州市瓯海区,120.543898,27.974481
潘桥,浙江省温州市瓯海区,120.558281,27.923064
娄桥,浙江省温州市瓯海区娄桥互通,120.601862,27.972435
温州南,浙江省温州市瓯海区温州南枢纽,120.696454,27.938863
万全,浙江省温州市平阳县,120.548112,27.751476
平阳,浙江省温州市平阳县平阳互通,120.556678,27.67846
箫江,浙江省温州市平阳县萧江互通,120.466111,27.574669
荆谷,浙江省温州市瑞安市,120.496316,27.785628
陶山,浙江省温州市瑞安市,120.525162,27.854439
阁巷,浙江省温州市瑞安市,120.632878,27.701609
塘下,浙江省温州市瑞安市塘下互通,120.675109,27.855338
飞云,浙江省温州市瑞安市铁龙线,120.605474,27.785717
瑞安,浙江省温州市瑞安市愚溪路,120.642341,27.804966
桥头,浙江省温州市永嘉县,120.49262,28.153588
永嘉南,浙江省温州市永嘉县,120.695277,28.090405
永嘉,浙江省温州市永嘉县,120.758356,28.162722
枫林付,浙江省温州市永嘉县,120.779881,28.323164
花坦,浙江省温州市永嘉县,120.780149,28.277534
枫林,浙江省温州市永嘉县,120.780859,28.32312
古庙,浙江省温州市永嘉县,120.793058,28.23206
温州北,浙江省温州市永嘉县S26(诸永高速),120.71866,28.079019
花坦付,浙江省温州市永嘉县S26(诸永高速),120.778085,28.278018
白露屿,浙江省温州市永嘉县白鹭屿立交桥,120.802894,28.026556
瓯北,浙江省温州市永嘉县昌和路,120.617071,28.077567
梅岙,浙江省温州市永嘉县梅岙互通,120.579971,28.117845
岩坦,浙江省温州市永嘉县岩坦互通,120.729422,28.455688
沥港,浙江省舟山市定海区,121.866731,30.054932
金塘,浙江省舟山市定海区,121.908412,30.059998
岑港,浙江省舟山市定海区,121.994425,30.066226
舟山,浙江省舟山市定海区G9211(甬舟高速),122.010037,30.054467
册子,浙江省舟山市定海区金山路,121.946617,30.082935
,,,
sum,,,
