Name,Importance,lng,lat
温岭北,0.799952836,121.542221,28.465834
诸暨北,0.798085238,120.287608,29.792338
龙泉东(塔石),0.791183502,119.198008,28.049371
遂昌东,0.790058315,119.337453,28.607601
浦坝港,0.788870604,121.603058,28.960833
余新,0.785017124,120.818986,30.66175
凤川,0.784928526,119.777541,29.820488
富盛,0.782320936,120.71972,29.975137
壶镇,0.768564589,120.267019,28.795538
台州(路桥),0.76481692,121.534447,28.559999
涌泉,0.763603136,121.34009,28.736989
街亭(安亭),0.759149641,120.284256,29.630548
常山东,0.750650198,118.621547,28.942947
芦浦,0.739247715,121.125198,28.114
马宅,0.736855586,120.369758,29.086814
穿山港区,0.736439178,122.035658,29.872779
马金,0.734826705,118.397735,29.303816
湖溪,0.733465658,120.391488,29.209633
温岭南,0.723030156,121.408333,28.297501
滨海新城北,0.722329005,120.78385,30.205139
浦阳付,0.706821072,120.250654,29.97161
三溪,0.704951667,120.543898,27.974481
陶山,0.702905068,120.525162,27.854439
千岛湖,0.698222696,119.163469,29.605547
健跳,0.696091929,121.576942,29.099167
八都,0.694040757,118.968573,27.986389
诸暨南,0.687906406,120.219903,29.618596
富春江,0.68759544,119.642688,29.727235
茅洋,0.6869221,121.823845,29.39065
头门港南,0.6862399,121.525002,28.716667
浙沪北主线,0.68149108,120.988754,30.945732
石帆,0.680870898,119.964101,28.372615
浦阳,0.664639858,120.246708,29.972026
璜山,0.664399447,120.33158,29.591559
千祥,0.663315598,120.309707,29.049734
银岭关主线,0.66184904,118.081712,29.099529
林山,0.661515323,118.496438,29.128631
直埠,0.653303822,120.244642,29.824622
古市,0.643893185,119.401393,28.51241
袁花,0.643246358,120.797226,30.405745
沙溪,0.634392711,121.146909,29.54586
江郎山,0.631902107,118.600995,28.612014
金华西,0.611073879,119.38111,29.101066
王店东,0.601363606,120.752454,30.617801
西田畈,0.596552768,119.877729,28.929518
浙沪南主线,0.596052193,121.276483,30.734369
尖山,0.590085159,120.790695,30.313479
黄田,0.574640232,118.948271,27.77962
黄湖,0.574624915,119.830714,30.449672
东关付,0.573477579,120.813743,30.013978
林城,0.573008013,119.781647,30.947391
嘉善,0.568848366,120.956118,30.806114
洪渡,0.567578247,119.877964,28.614841
象溪,0.552821099,119.608346,28.374475
白鹤,0.551474419,120.941227,29.244679
王店,0.550455549,120.716118,30.649184
池淮,0.550096654,118.294562,29.100332
桃渚,0.548524126,121.580559,28.84
天凝,0.538707536,120.854358,30.888068
三界,0.538508474,120.849022,29.756495
溪口西,0.537829616,121.240549,29.642583
庆元,0.532363963,118.909266,27.672484
宁海南,0.528217605,121.314668,29.200129
万全,0.528111288,120.548112,27.751476
游埠,0.524372479,119.326404,29.110246
枫桥北,0.516221519,120.455744,29.817713
龙泉安仁,0.511189188,119.359479,28.071759
大同,0.507877597,119.091639,29.315897
袁浦,0.50263954,120.160615,30.124113
宁海东长街,0.498502043,121.681656,29.243883
深澳,0.485647164,119.839713,29.861013
绍兴高新区,0.485301032,120.751284,30.008143
埠头,0.484948254,120.540984,28.788631
头门港,0.483187099,121.555,28.750834
油车港,0.444962643,120.766504,30.857619
乾潭,0.426242016,119.524498,29.627966
天子湖,0.425333893,119.699985,30.833644
枫林,0.411171601,120.780859,28.32312
黄华,0.403126958,120.960472,28.011099
阁巷,0.402830157,120.632878,27.701609
大店口,0.393886251,119.162858,29.268843
龙泉南,0.389179199,119.090454,28.006687
册子,0.352756419,121.946617,30.082935
秀州(嘉兴西),0.352311929,120.689917,30.759189
安华,0.334532049,120.143754,29.583415
袁富付,0.328966518,120.116326,30.11803
上方,0.327510396,118.954999,29.235372
海山,0.323019462,121.093803,28.134701
岩坦,0.322202107,120.729422,28.455688
浙闽主线,0.28859712,120.357838,27.476792
藻溪,0.282182669,119.495833,30.208448
航头,0.281642225,119.181417,29.334784
岑港,0.274386099,121.994425,30.066226
安仁,0.270452375,119.606531,29.692058
力洋,0.246455559,121.628922,29.205057
枫林付,0.245467913,120.779881,28.323164
廿八都,0.234814077,118.487781,28.304256
沥港,0.23438438,121.866731,30.054932
赤石,0.220371883,119.466252,28.128452
钱江源国家公园,0.21981011,118.352811,29.323104
岳井洋灵南,0.218587467,121.760986,29.288006
陈宅,0.213422239,120.349933,29.516286
